Estacao;Plano;x;y;z
4.0;5.0;-5.363180726133784;-1.6157329861728045;-4.535247492803477
4.0;5.0;-4.788794234576014;-1.777469849513908;-5.204895533146569
4.0;6.0;3.9876433292233786;-0.1786627703054311;3.3887299622075693
4.0;6.0;3.924116599845979;-0.2370988794031903;3.4549187625663564
4.0;6.0;3.669044000511695;-0.5170617293078013;3.737729039495527
4.0;6.0;3.8122918005444726;-0.5214324032997122;3.6092932318176136
5.0;1.0;0.47862409690202884;-6.187894776207771;-1.046217378593523
5.0;1.0;0.4266720610714563;-6.174404207344064;-0.8495467734087279
5.0;1.0;0.3769966910417846;-6.1420557821283115;-0.43579191333009015
5.0;1.0;0.7119075119229978;-6.092698038555535;-0.17772364332322627
5.0;2.0;-0.5300261610709216;4.182927650415835;-1.1906511127271793
5.0;2.0;-0.5355778739405976;4.166319713249883;-1.0047843631274238
5.0;2.0;-0.5523593949934613;4.115809122053391;-0.4509174854110472
5.0;2.0;-0.322781388779301;4.11946847600921;-0.2952245042643859
5.0;3.0;1.239816032678734;-0.7996587156337198;-2.1935499483581458
5.0;3.0;1.5122581339683567;-0.5423317478107413;-1.6896273728783393
5.0;3.0;1.5313898655992213;-1.2741162516136326;-1.6031755239053331
5.0;3.0;1.4418750943084864;-1.1903102194482773;-1.774637320834997
5.0;4.0;-1.3561846564037443;-0.7676339488958234;-0.1492804398895444
5.0;4.0;-1.5088731093779553;-0.8437826928956056;-0.37888954692969357
5.0;4.0;-1.1932867944506231;-1.156123607752456;0.04014809068697172
5.0;4.0;-1.3970312942779375;-1.471670526958142;-0.2799664120832486
5.0;5.0;-3.3315765805735285;-1.393438382918763;-6.25635440839797
5.0;5.0;-3.664781124351795;-0.751589445153164;-6.068335517028907
5.0;5.0;-3.9993085803339317;-1.5898188392804875;-5.7810706051990275
5.0;5.0;-3.246229409343548;-1.8049252734499426;-6.275916361550977
5.0;6.0;3.010539639101013;-0.09621953527251458;4.2830016747358055
5.0;6.0;2.939427823891464;-0.15497348877732478;4.3274840161048465
5.0;6.0;2.661316922400902;-0.43785836159837815;4.519460960780032
5.0;6.0;2.8249171764049223;-0.43761922443639173;4.434048998129146
6.0;1.0;0.9020610279647944;-6.151681645352758;-0.9781576697459825
6.0;1.0;0.7980017179500778;-6.143443683339473;-0.8051950393297644
6.0;1.0;0.6382588251553868;-6.121104247253143;-0.4261440999556044
6.0;1.0;0.8990195070158318;-6.069770543762422;-0.09495714836692518
6.0;2.0;-0.1034097630900376;4.210848963889929;-1.2056197395846497
6.0;2.0;-0.15993645191344355;4.192606059621609;-1.0252463063226376
6.0;2.0;-0.3263087326432748;4.135822573485542;-0.4866276407203258
6.0;2.0;-0.15058590489833687;4.130806808696879;-0.27408913178663535
6.0;3.0;1.7978200840418601;-0.7209389636137208;-1.7989855998527413
6.0;3.0;1.9122502078672992;-0.4811719692050848;-1.244050532004002
6.0;3.0;1.9368745671081469;-1.1997266196686245;-1.160978833951437
6.0;3.0;1.8942015632163305;-1.1143600593032605;-1.3473610959015305
6.0;4.0;-1.2737142821611385;-0.7551592429718517;-0.5081041199093638
6.0;4.0;-1.360096277383798;-0.8313568544118325;-0.7689008249936046
6.0;4.0;-1.1602768085286823;-1.1535274936434288;-0.2920600766928138
6.0;4.0;-1.2668991297633987;-1.47021655119177;-0.6552264162947284
6.0;5.0;-1.4403054420723334;-1.5909318889899586;-6.897644487854504
6.0;5.0;-1.9354903396846599;-0.8305272783659401;-6.810602390066738
6.0;5.0;-2.2934278309119636;-1.6876848650480603;-6.620776312899128
6.0;5.0;-1.2972138003826552;-2.0062778052774446;-6.890208452736134
6.0;6.0;1.8726216672419274;-0.048400632678932534;4.889545575356525
6.0;6.0;1.8081846177500542;-0.10786345192206498;4.910214301596785
6.0;6.0;1.578769198690542;-0.4037269507237246;5.004432779928123
6.0;6.0;1.736222684110715;-0.3938693182206132;4.966171151732265
7.0;1.0;1.2984051597236417;-6.105857590090712;-0.8039531836870052
7.0;1.0;1.150157914742232;-6.104047291537663;-0.6669254211707135
7.0;1.0;0.8923963136935106;-6.094141219679007;-0.34923049905712006
7.0;1.0;1.0611475489561173;-6.044196807981939;0.03190946054561835
7.0;2.0;0.30467241978044274;4.227416376224217;-1.1097689087949034
7.0;2.0;0.20143612088598653;4.208974169511206;-0.947953141270473
7.0;2.0;-0.10259167289405613;4.1501046684869936;-0.4630533428452131
7.0;2.0;0.0065732774439307895;4.1373653202405976;-0.20864049604079662
7.0;3.0;2.221446333643054;-0.6491408073030385;-1.2775177616597064
7.0;3.0;2.1799451635958422;-0.4202335076111459;-0.7121319613755568
7.0;3.0;2.206595896441306;-1.1261818112863797;-0.6335203084915536
7.0;3.0;2.21078787206391;-1.0400005662112422;-0.8221895363150492
7.0;4.0;-1.0967061456754876;-0.7477041026352713;-0.8300346718276008
7.0;4.0;-1.10891394317551;-0.8274840443269543;-1.1035418455237194
7.0;4.0;-1.0372320677935305;-1.1517696898760006;-0.5997860105256757
7.0;4.0;-1.0347377046502024;-1.4722131077705307;-0.9786716593872423
7.0;5.0;1.2262031462199057;-1.6101369695977155;-6.934473902613886
7.0;5.0;0.8932894759888848;-1.0543980078211188;-6.9936029401086035
7.0;5.0;0.0326298621534225;-1.9337398814100257;-6.94279164082433
7.0;5.0;1.2418235008790444;-1.992514505770921;-6.904393321282149
7.0;6.0;0.7729972298709105;-0.07398483565829123;5.178195823842581
